word,decision,source,page,note,hint,sort_order
борати,approved,pdf_medium_approved,100,approved from medium possible additions,,
борбен,approved,pdf_high_confidence,101,,,
бордел,approved,pdf_medium_approved,101,approved from medium possible additions,,
бостон,approved,pdf_high_confidence,102,,,
боцаст,approved,pdf_high_confidence,102,,,
боцкав,approved,pdf_high_confidence,102,,,
бочити,approved,pdf_high_confidence,102,,,
бошњак,approved,pdf_medium_approved,102,approved from medium possible additions,,
бравац,approved,pdf_high_confidence,102,,,
бравић,approved,pdf_high_confidence,102,,,
брављи,approved,pdf_high_confidence,102,,,
бравче,approved,pdf_high_confidence,103,,,
брадат,approved,pdf_high_confidence,103,,,
брадни,approved,pdf_high_confidence,103,,,
браник,approved,pdf_high_confidence,104,,,
бранич,approved,pdf_high_confidence,104,,,
брањив,approved,pdf_high_confidence,104,,,
брачни,approved,pdf_high_confidence,105,,,
брбљав,approved,pdf_high_confidence,105,,,
брбљив,approved,pdf_high_confidence,106,,,
брежић,approved,pdf_high_confidence,106,,,
бренди,approved,pdf_high_confidence,107,,,
бренце,approved,pdf_high_confidence,107,,,
брзати,approved,pdf_high_confidence,107,,,
бригеш,approved,pdf_high_confidence,108,,,
бридан,approved,pdf_high_confidence,108,,,
бризак,approved,pdf_high_confidence,108,,,
брисач,approved,pdf_high_confidence,109,,,
бркоња,approved,pdf_medium_approved,110,approved from medium possible additions,,
брњаст,approved,pdf_high_confidence,110,,,
бродан,approved,pdf_high_confidence,110,,,
бродар,approved,pdf_high_confidence,110,,,
брокат,approved,pdf_high_confidence,112,,,
бромат,approved,pdf_high_confidence,112,,,
бромов,approved,pdf_high_confidence,112,,,
броћац,approved,pdf_high_confidence,112,,,
броћев,approved,pdf_high_confidence,112,,,
брснат,approved,pdf_high_confidence,112,,,
брстан,approved,pdf_high_confidence,112,,,
брусар,approved,pdf_high_confidence,112,,,
брусач,approved,pdf_high_confidence,113,,,
брусић,approved,pdf_high_confidence,113,,,
брчкав,approved,pdf_high_confidence,113,,,
бубњар,approved,pdf_high_confidence,114,,,
бубњић,approved,pdf_high_confidence,114,,,
бувара,approved,pdf_medium_approved,114,approved from medium possible additions,,
бувљак,approved,pdf_high_confidence,114,,,
бувљив,approved,pdf_high_confidence,114,,,
будоар,approved,pdf_high_confidence,115,,,
будући,approved,pdf_high_confidence,115,,,
буквар,approved,pdf_high_confidence,116,,,
буквић,approved,pdf_high_confidence,116,,,
буљина,approved,pdf_medium_approved,117,approved from medium possible additions,,
буљоок,approved,pdf_high_confidence,117,,,
бундов,approved,pdf_high_confidence,117,,,
бурити,approved,pdf_medium_approved,119,approved from medium possible additions,,
бусара,approved,pdf_medium_approved,119,approved from medium possible additions,,
бусати,approved,pdf_high_confidence,119,,,
бухара,approved,pdf_medium_approved,120,approved from medium possible additions,,
буцати,approved,pdf_medium_approved,120,approved from medium possible additions,,
бучати,approved,pdf_medium_approved,120,approved from medium possible additions,,
бушаћи,approved,pdf_high_confidence,120,,,
вадити,approved,pdf_high_confidence,121,,,
важећи,approved,pdf_high_confidence,121,,,
важити,approved,pdf_high_confidence,121,,,
вакела,approved,pdf_medium_approved,122,approved from medium possible additions,,
ваљати,approved,pdf_high_confidence,123,,,
вандал,approved,pdf_high_confidence,124,,,
вапити,approved,pdf_high_confidence,125,,,
варати,approved,pdf_high_confidence,125,,,
варљив,approved,pdf_high_confidence,126,,,
васцео,approved,pdf_high_confidence,127,,,
ватраљ,approved,pdf_high_confidence,127,,,
вашљив,approved,pdf_high_confidence,128,,,
вдасат,approved,pdf_high_confidence,151,,,
ведрац,approved,pdf_high_confidence,128,,,
вежбач,approved,pdf_medium_approved,129,approved from medium possible additions,,
везиља,approved,pdf_medium_approved,130,approved from medium possible additions,,
вељача,approved,pdf_medium_approved,132,approved from medium possible additions,,
вентил,approved,pdf_high_confidence,133,,,
венчић,approved,pdf_high_confidence,133,,,
верзал,approved,pdf_high_confidence,134,,,
веруга,approved,pdf_medium_approved,135,approved from medium possible additions,,
веслач,approved,pdf_high_confidence,136,,,
весник,approved,pdf_high_confidence,136,,,
ветрић,approved,pdf_high_confidence,137,,,
већати,approved,pdf_medium_approved,137,approved from medium possible additions,,
већник,approved,pdf_medium_approved,138,approved from medium possible additions,,
вешчић,approved,pdf_high_confidence,139,,,
вигвам,approved,pdf_high_confidence,139,,,
видљив,approved,pdf_high_confidence,140,,,
видрин,approved,pdf_high_confidence,141,,,
видски,approved,pdf_high_confidence,141,,,
виклер,approved,pdf_medium_approved,142,approved from medium possible additions,,
виласт,approved,pdf_high_confidence,143,,,
вимени,approved,pdf_high_confidence,143,,,
винаст,approved,pdf_high_confidence,143,,,
вирити,approved,pdf_high_confidence,144,,,
вирман,approved,pdf_high_confidence,145,,,
виртуо,approved,pdf_high_confidence,145,,,
висити,approved,pdf_high_confidence,145,,,
висост,approved,pdf_high_confidence,147,,,
витост,approved,pdf_high_confidence,148,,,
витраж,approved,pdf_high_confidence,148,,,
вишњак,approved,pdf_high_confidence,150,,,
вишњар,approved,pdf_high_confidence,150,,,
вишњев,approved,pdf_high_confidence,150,,,
вишњик,approved,pdf_high_confidence,150,,,
владар,approved,pdf_high_confidence,150,,,
влажан,approved,pdf_high_confidence,150,,,
власац,approved,pdf_high_confidence,151,,,
власић,approved,pdf_high_confidence,151,,,
влатак,approved,pdf_high_confidence,152,,,
влатић,approved,pdf_high_confidence,152,,,
влатни,approved,pdf_high_confidence,152,,,
влачар,approved,pdf_high_confidence,152,,,
влачни,approved,pdf_high_confidence,152,,,
влашки,approved,pdf_high_confidence,152,,,
водити,approved,pdf_medium_approved,154,approved from medium possible additions,,
водњав,approved,pdf_high_confidence,154,,,
возити,approved,pdf_medium_approved,156,approved from medium possible additions,,
вољети,approved,pdf_medium_approved,159,approved from medium possible additions,,
воњати,approved,pdf_high_confidence,159,,,
воскар,approved,pdf_high_confidence,159,,,
воштан,approved,pdf_high_confidence,159,,,
вражић,approved,pdf_high_confidence,160,,,
вранац,approved,pdf_high_confidence,160,,,
вранче,approved,pdf_high_confidence,160,,,
врапче,approved,pdf_high_confidence,160,,,
вратар,approved,pdf_high_confidence,161,,,
врачар,approved,pdf_high_confidence,162,,,
врашки,approved,pdf_medium_approved,162,approved from medium possible additions,,
врашче,approved,pdf_high_confidence,162,,,
вргаст,approved,pdf_high_confidence,162,,,
вребач,approved,pdf_high_confidence,163,,,
вређач,approved,pdf_high_confidence,163,,,
врелце,approved,pdf_high_confidence,164,,,
вреоце,approved,pdf_high_confidence,164,,,
врисак,approved,pdf_high_confidence,165,,,
врљаво,approved,pdf_medium_approved,166,approved from medium possible additions,,
врљати,approved,pdf_medium_approved,166,approved from medium possible additions,,
врљоок,approved,pdf_medium_approved,166,approved from medium possible additions,,
врнути,approved,pdf_medium_approved,166,approved from medium possible additions,,
врскав,approved,pdf_high_confidence,166,,,
врстан,approved,pdf_high_confidence,166,,,
врстач,approved,pdf_high_confidence,166,,,
вртети,approved,pdf_medium_approved,166,approved from medium possible additions,,
вртлар,approved,pdf_high_confidence,167,,,
вртљив,approved,pdf_high_confidence,167,,,
врутак,approved,pdf_high_confidence,167,,,
врућац,approved,pdf_high_confidence,168,,,
врцати,approved,pdf_high_confidence,168,,,
врцкав,approved,pdf_high_confidence,168,,,
врчати,approved,pdf_high_confidence,168,,,
вршити,approved,pdf_medium_approved,713,approved from medium possible additions,,
вршњак,approved,pdf_high_confidence,169,,,
вулкан,approved,pdf_high_confidence,170,,,
вунаст,approved,pdf_high_confidence,170,,,
вуцати,approved,pdf_medium_approved,171,approved from medium possible additions,,
вучика,approved,pdf_medium_approved,171,approved from medium possible additions,,
гадити,approved,pdf_high_confidence,173,,,
гадљив,approved,pdf_high_confidence,173,,,
гадост,approved,pdf_high_confidence,173,,,
гађати,approved,pdf_medium_approved,173,approved from medium possible additions,,
газити,approved,pdf_high_confidence,173,,,
галион,approved,pdf_high_confidence,176,,,
галити,approved,pdf_medium_approved,176,approved from medium possible additions,,
галица,approved,pdf_medium_approved,176,approved from medium possible additions,,
галота,approved,pdf_medium_approved,176,approved from medium possible additions,,
гањати,approved,pdf_medium_approved,176,approved from medium possible additions,,
гарити,approved,pdf_high_confidence,177,,,
гатити,approved,pdf_high_confidence,178,,,
гаћаст,approved,pdf_high_confidence,179,,,
генски,approved,pdf_high_confidence,182,,,
гепити,approved,pdf_high_confidence,183,,,
герила,approved,pdf_medium_approved,183,approved from medium possible additions,,
герман,approved,pdf_medium_approved,183,approved from medium possible additions,,
гетски,approved,pdf_high_confidence,184,,,
гибати,approved,pdf_medium_approved,184,approved from medium possible additions,,
гибљив,approved,pdf_high_confidence,184,,,
гиздав,approved,pdf_high_confidence,184,,,
гинути,approved,pdf_high_confidence,185,,,
гипсар,approved,pdf_high_confidence,185,,,
глават,approved,pdf_high_confidence,187,,,
главић,approved,pdf_high_confidence,187,,,
гладан,approved,pdf_high_confidence,188,,,
гламур,approved,pdf_high_confidence,189,,,
гласан,approved,pdf_high_confidence,189,,,
гласит,approved,pdf_high_confidence,190,,,
гласић,approved,pdf_high_confidence,190,,,
гласни,approved,pdf_high_confidence,190,,,
глачар,approved,pdf_high_confidence,190,,,
глежањ,approved,pdf_medium_approved,191,approved from medium possible additions,,
глинац,approved,pdf_high_confidence,192,,,
глинен,approved,pdf_high_confidence,192,,,
глисер,approved,pdf_high_confidence,192,,,
глобал,approved,pdf_high_confidence,192,,,
глобар,approved,pdf_high_confidence,192,,,
глогић,approved,pdf_high_confidence,193,,,
глогов,approved,pdf_high_confidence,193,,,
глодар,approved,pdf_high_confidence,193,,,
глосар,approved,pdf_high_confidence,193,,,
глумац,approved,pdf_high_confidence,194,,,
глупав,approved,pdf_high_confidence,194,,,
глупак,approved,pdf_high_confidence,194,,,
гљивин,approved,pdf_high_confidence,194,,,
гмизав,approved,pdf_high_confidence,195,,,
гнусан,approved,pdf_high_confidence,196,,,
гњатић,approved,pdf_high_confidence,196,,,
гњатни,approved,pdf_high_confidence,196,,,
гњецав,approved,pdf_high_confidence,196,,,
гњидав,approved,pdf_high_confidence,196,,,
гњурац,approved,pdf_high_confidence,196,,,
говече,approved,pdf_high_confidence,197,,,
говнав,approved,pdf_high_confidence,197,,,
говнар,approved,pdf_high_confidence,197,,,
говњив,approved,pdf_high_confidence,197,,,
годити,approved,pdf_high_confidence,198,,,
голити,approved,pdf_high_confidence,199,,,
голцат,approved,pdf_medium_approved,201,approved from medium possible additions,,
гонити,approved,pdf_medium_approved,202,approved from medium possible additions,,
горљак,approved,pdf_high_confidence,204,,,
горљив,approved,pdf_high_confidence,204,,,
горски,approved,pdf_high_confidence,204,,,
горући,approved,pdf_high_confidence,204,,,
госпар,approved,pdf_high_confidence,205,,,
господ,approved,pdf_high_confidence,205,,,
готски,approved,pdf_high_confidence,207,,,
грабик,approved,pdf_high_confidence,207,,,
грабић,approved,pdf_high_confidence,207,,,
градни,approved,pdf_high_confidence,209,,,
грађен,approved,pdf_high_confidence,209,,,
гранат,approved,pdf_high_confidence,210,,,
графит,approved,pdf_high_confidence,211,,,
грахов,approved,pdf_high_confidence,212,,,
грашак,approved,pdf_high_confidence,212,,,
грашар,approved,pdf_high_confidence,212,,,
грашац,approved,pdf_high_confidence,212,,,
грбаст,approved,pdf_high_confidence,212,,,
грбити,approved,pdf_high_confidence,212,,,
грешан,approved,pdf_high_confidence,215,,,
грешић,approved,pdf_high_confidence,215,,,
гризли,approved,pdf_high_confidence,215,,,
грињав,approved,pdf_high_confidence,215,,,
гристи,approved,pdf_medium_approved,216,approved from medium possible additions,,
грифон,approved,pdf_high_confidence,216,,,
грлити,approved,pdf_high_confidence,216,,,
грмаст,approved,pdf_high_confidence,217,,,
грмети,approved,pdf_medium_approved,217,approved from medium possible additions,,
грнчар,approved,pdf_high_confidence,217,,,
гробар,approved,pdf_high_confidence,217,,,
гробић,approved,pdf_high_confidence,218,,,
гробни,approved,pdf_high_confidence,218,,,
грокбт,approved,pdf_high_confidence,219,,,
громби,approved,pdf_high_confidence,219,,,
громор,approved,pdf_high_confidence,220,,,
гроник,approved,pdf_high_confidence,220,,,
грофић,approved,pdf_high_confidence,220,,,
грудав,approved,pdf_high_confidence,221,,,
грудат,approved,pdf_high_confidence,221,,,
групни,approved,pdf_high_confidence,222,,,
грушав,approved,pdf_high_confidence,222,,,
грчати,approved,pdf_high_confidence,223,,,
грчити,approved,pdf_high_confidence,223,,,
губаст,approved,pdf_high_confidence,223,,,
губати,approved,pdf_high_confidence,223,,,
губити,approved,pdf_high_confidence,223,,,
гудрон,approved,pdf_high_confidence,224,,,
гузити,approved,pdf_medium_approved,225,approved from medium possible additions,,
гукаст,approved,pdf_high_confidence,225,,,
гумаст,approved,pdf_high_confidence,225,,,
гунђав,approved,pdf_high_confidence,226,,,
гуњчић,approved,pdf_high_confidence,226,,,
гурман,approved,pdf_high_confidence,226,,,
густин,approved,pdf_high_confidence,227,,,
гутати,approved,pdf_high_confidence,228,,,
гуцати,approved,pdf_high_confidence,228,,,
гуштак,approved,pdf_high_confidence,229,,,
гуштпк,approved,pdf_high_confidence,229,,,
давати,approved,pdf_medium_approved,230,approved from medium possible additions,,
дактил,approved,pdf_medium_approved,231,approved from medium possible additions,,
даност,approved,pdf_high_confidence,234,,,
даскаш,approved,pdf_high_confidence,235,,,
датост,approved,pdf_high_confidence,236,,,
датула,approved,pdf_medium_approved,236,approved from medium possible additions,,
дахтав,approved,pdf_high_confidence,236,,,
двиска,approved,pdf_medium_approved,238,approved from medium possible additions,,
двоауб,approved,pdf_high_confidence,239,,,
двоврх,approved,pdf_high_confidence,238,,,
двогод,approved,pdf_high_confidence,238,,,
двогрб,approved,pdf_high_confidence,238,,,
дводом,approved,pdf_high_confidence,239,,,
дволик,approved,pdf_high_confidence,240,,,
двопер,approved,pdf_high_confidence,241,,,
дворац,approved,pdf_high_confidence,241,,,
дворед,approved,pdf_high_confidence,241,,,
дворог,approved,pdf_high_confidence,241,,,
дебакл,approved,pdf_medium_approved,243,approved from medium possible additions,,
девати,approved,pdf_medium_approved,244,approved from medium possible additions,,
деиаам,approved,pdf_high_confidence,248,,,
делити,approved,pdf_medium_approved,251,approved from medium possible additions,,
дентал,approved,pdf_high_confidence,255,,,
денути,approved,pdf_medium_approved,255,approved from medium possible additions,,
десети,approved,pdf_high_confidence,258,,,
детлић,approved,pdf_high_confidence,262,,,
дефиле,approved,pdf_high_confidence,262,,,
дефтер,approved,pdf_medium_approved,263,approved from medium possible additions,,
дивити,approved,pdf_medium_approved,264,approved from medium possible additions,,
дивљак,approved,pdf_high_confidence,264,,,
дивски,approved,pdf_high_confidence,265,,,
дидити,approved,pdf_high_confidence,265,,,
диедар,approved,pdf_high_confidence,265,,,
диздар,approved,pdf_high_confidence,266,,,
диктат,approved,pdf_high_confidence,268,,,
димаст,approved,pdf_high_confidence,268,,,
димити,approved,pdf_high_confidence,269,,,
димљив,approved,pdf_high_confidence,269,,,
дињаст,approved,pdf_high_confidence,270,,,
дирљив,approved,pdf_high_confidence,272,,,
дискаћ,approved,pdf_high_confidence,272,,,
диспут,approved,pdf_medium_approved,274,approved from medium possible additions,,
длакав,approved,pdf_high_confidence,276,,,
добити,approved,pdf_medium_approved,39,approved from medium possible additions,,
добран,approved,pdf_high_confidence,280,,,
добрац,approved,pdf_high_confidence,280,,,
добраш,approved,pdf_high_confidence,280,,,
добрић,approved,pdf_high_confidence,280,,,
додати,approved,pdf_high_confidence,284,,,
дожети,approved,pdf_medium_approved,285,approved from medium possible additions,,
