word,decision,source,page,confidence,status,reason,hint,sort_order
галота,approved,pdf_candidate,176,medium,needs_review,lowercase-entry|previous-line-closed,,
гањати,approved,pdf_candidate,176,medium,needs_review,lowercase-entry|previous-line-closed,,
геокем,deferred,pdf_candidate,182,medium,needs_review,lowercase-entry|previous-line-closed,,
герила,approved,pdf_candidate,183,medium,needs_review,lowercase-entry|previous-line-closed,,
герман,approved,pdf_candidate,183,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
гибати,approved,pdf_candidate,184,medium,needs_review,lowercase-entry|previous-line-closed,,
главно,deferred,pdf_candidate,187,medium,needs_review,lowercase-entry|previous-line-closed,,
главом,deferred,pdf_candidate,186,medium,needs_review,lowercase-entry|previous-line-closed,,
глежањ,approved,pdf_candidate,191,medium,needs_review,lowercase-entry|previous-line-closed,,
голцат,approved,pdf_candidate,201,medium,needs_review,lowercase-entry|previous-line-closed,,
гонити,approved,pdf_candidate,202,medium,needs_review,lowercase-entry|previous-line-closed,,
грбине,deferred,pdf_candidate,212,medium,needs_review,lowercase-entry|previous-line-closed,,
гристи,approved,pdf_candidate,216,medium,needs_review,lowercase-entry|previous-line-closed,,
грмети,approved,pdf_candidate,217,medium,needs_review,lowercase-entry|previous-line-closed,,
гузити,approved,pdf_candidate,225,medium,needs_review,lowercase-entry|previous-line-closed,,
давати,approved,pdf_candidate,230,medium,needs_review,lowercase-entry|previous-line-closed,,
дактил,approved,pdf_candidate,231,medium,needs_review,lowercase-entry|previous-line-closed,,
датула,approved,pdf_candidate,236,medium,needs_review,lowercase-entry|previous-line-closed,,
двиска,approved,pdf_candidate,238,medium,needs_review,lowercase-entry|previous-line-closed,,
дебакл,approved,pdf_candidate,243,medium,needs_review,lowercase-entry|previous-line-closed,,
девати,approved,pdf_candidate,244,medium,needs_review,lowercase-entry|previous-line-closed,,
делити,approved,pdf_candidate,251,medium,needs_review,lowercase-entry|previous-line-closed,,
денути,approved,pdf_candidate,255,medium,needs_review,lowercase-entry|previous-line-closed,,
дефтер,approved,pdf_candidate,263,medium,needs_review,lowercase-entry|previous-line-closed,,
дивити,approved,pdf_candidate,264,medium,needs_review,lowercase-entry|previous-line-closed,,
диспут,approved,pdf_candidate,274,medium,needs_review,lowercase-entry|previous-line-closed,,
добити,approved,pdf_candidate,39,medium,needs_review,lowercase-entry|previous-line-closed,,
дожети,approved,pdf_candidate,285,medium,needs_review,lowercase-entry|previous-line-closed,,
доиста,approved,pdf_candidate,286,medium,needs_review,lowercase-entry|previous-line-closed,,
доксат,approved,pdf_candidate,288,medium,needs_review,lowercase-entry|previous-line-closed,,
домаћи,approved,pdf_candidate,290,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
донети,approved,pdf_candidate,293,medium,needs_review,lowercase-entry|previous-line-closed,,
држати,approved,pdf_candidate,1420,medium,needs_review,lowercase-entry|previous-line-closed,,
дрљало,approved,pdf_candidate,309,medium,needs_review,lowercase-entry|previous-line-closed,,
дрљити,approved,pdf_candidate,309,medium,needs_review,lowercase-entry|previous-line-closed,,
дрндар,approved,pdf_candidate,310,medium,needs_review,lowercase-entry|previous-line-closed,,
дурити,approved,pdf_candidate,319,medium,needs_review,lowercase-entry|previous-line-closed,,
ђаурка,approved,pdf_candidate,323,medium,needs_review,lowercase-entry|previous-line-closed,,
егоист,approved,pdf_candidate,328,medium,needs_review,lowercase-entry|previous-line-closed,,
емпора,approved,pdf_candidate,339,medium,needs_review,lowercase-entry|previous-line-closed,,
емфаза,approved,pdf_candidate,340,medium,needs_review,lowercase-entry|previous-line-closed,,
епител,approved,pdf_candidate,343,medium,needs_review,lowercase-entry|previous-line-closed,,
еридин,approved,pdf_candidate,344,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
